optimizer,hyperparameters,criterion,crt_parameter,top-1 test acc,overfitting indicator,l1,l5,l1/l5,fwp_overhead,bwp_overhead,images/s,runtime,max_allocated_memory,max_reserved_memory,epochs,exclusive_run
adamw,lr=0.05;,baseline,,73.17,1.9258,,,,1.0,1.0,8564.03,369.03,,,200,False
adamw,lr=0.05;,baseline,,73.45,2.0066,,,,1.0,1.0,8550.93,370.0,,,200,False
adamw,lr=0.05;,baseline,,73.47,2.0725,,,,1.0,1.0,8426.78,371.2,,,200,False
sgd,lr=0.05;,baseline,,81.19,0.7382,,,,1.0,1.0,8992.47,371.7,,,200,False
sgd,lr=0.05;,baseline,,82.15,0.7112,,,,1.0,1.0,9217.65,372.85,,,200,False
adamw,lr=0.05;,baseline,,73.86,1.9012,,,,1.0,1.0,8391.47,373.96,,,200,False
sgd,lr=0.05;,baseline,,81.99,0.704,,,,1.0,1.0,9111.66,374.99,,,200,False
vassore-sgd,lr=0.05;rho=0.2;theta=0.4;,naive,k=100,82.3,0.6682,,,,1.01,1.01,7314.13,383.72,,,200,False
vassoremu-sgd,lr=0.05;rho=0.2;theta=0.4;,naive,k=100,82.77,0.6501,,,,1.01,1.01,6208.96,386.34,,,200,False
sgd,lr=0.05;,baseline,,81.77,0.7158,,,,1.0,1.0,6974.02,394.83,,,200,False
vassore-sgd,lr=0.05;rho=0.2;theta=0.4;,naive,k=20,83.04,0.6277,,,,1.05,1.05,6855.08,398.3,,,200,False
vassoremu-sgd,lr=0.05;rho=0.2;theta=0.4;,naive,k=20,83.05,0.6192,,,,1.05,1.05,5790.85,403.84,,,200,False
vassore-sgd,lr=0.05;rho=0.2;theta=0.4;,naive,k=10,83.48,0.5864,,,,1.1,1.1,6960.68,412.03,,,200,False
vassoremu-sgd,lr=0.05;rho=0.2;theta=0.4;,naive,k=10,83.18,0.5821,,,,1.1,1.1,5723.2,415.22,,,200,False
vassore-sgd,lr=0.05;rho=0.2;theta=0.4;,naive,k=5,83.74,0.5445,,,,1.2,1.2,6336.09,447.6,,,200,False
vassoremu-sgd,lr=0.05;rho=0.2;theta=0.4;,naive,k=5,83.65,0.5439,,,,1.2,1.2,5060.0,455.87,,,200,False
vassore-sgd,lr=0.05;rho=0.2;theta=0.4;,naive,k=3,83.91,0.5045,,,,1.3333,1.3333,5355.1,494.67,,,200,False
vassoremu-sgd,lr=0.05;rho=0.2;theta=0.4;,naive,k=3,84.03,0.497,,,,1.3333,1.3333,4345.33,502.13,,,200,False
vassore-sgd,lr=0.05;rho=0.2;theta=0.4;,naive,k=2,84.01,0.4538,,,,1.5,1.5,4463.13,547.83,,,200,False
vassoremu-sgd,lr=0.05;rho=0.2;theta=0.4;,naive,k=2,84.23,0.4472,,,,1.5,1.5,3444.05,557.47,,,200,False
vassore-sgd,lr=0.05;rho=0.2;theta=0.4;,naive,k=100,82.48,0.6795,,,,1.01,1.01,6141.33,386.18,,,200,False
vassore-sgd,lr=0.05;rho=0.2;theta=0.4;,naive,k=20,83.08,0.6271,,,,1.05,1.05,7189.62,393.66,,,200,False
vassore-sgd,lr=0.05;rho=0.2;theta=0.4;,naive,k=10,83.29,0.5949,,,,1.1,1.1,6875.77,408.1,,,200,False
vassoremu-sgd,lr=0.05;rho=0.2;theta=0.4;,naive,k=100,83.09,0.6368,,,,1.01,1.01,6005.41,388.49,,,200,False
vassoremu-sgd,lr=0.05;rho=0.2;theta=0.4;,naive,k=20,82.91,0.5855,,,,1.05,1.05,5978.4,400.91,,,200,False
vassore-sgd,lr=0.05;rho=0.2;theta=0.4;,naive,k=5,83.6,0.5539,,,,1.2,1.2,6278.52,440.98,,,200,False
vassoremu-sgd,lr=0.05;rho=0.2;theta=0.4;,naive,k=10,83.72,0.5687,,,,1.1,1.1,4944.62,424.87,,,200,False
vassoremu-sgd,lr=0.05;rho=0.2;theta=0.4;,naive,k=5,84.02,0.5421,,,,1.2,1.2,5181.35,452.63,,,200,False
vassore-sgd,lr=0.05;rho=0.2;theta=0.4;,naive,k=10,83.57,0.601,,,,1.1,1.1,5697.06,417.04,,,200,False
vassoremu-sgd,lr=0.05;rho=0.2;theta=0.4;,naive,k=3,84.01,0.4894,,,,1.3333,1.3333,4328.8,502.26,,,200,False
vassore-sgd,lr=0.05;rho=0.2;theta=0.4;,naive,k=20,82.97,0.6331,,,,1.05,1.05,7221.28,396.04,,,200,False
vassore-sgd,lr=0.05;rho=0.2;theta=0.4;,naive,k=100,83.19,0.6524,,,,1.01,1.01,7315.73,390.43,,,200,False
vassore-sgd,lr=0.05;rho=0.2;theta=0.4;,naive,k=5,84.11,0.5432,,,,1.2,1.2,6171.62,448.28,,,200,False
vassore-sgd,lr=0.05;rho=0.2;theta=0.4;,naive,k=3,83.78,0.509,,,,1.3333,1.3333,5401.68,494.99,,,200,False
vassoremu-sgd,lr=0.05;rho=0.2;theta=0.4;,naive,k=2,84.04,0.4499,,,,1.5,1.5,3284.5,559.28,,,200,False
vassore-sgd,lr=0.05;rho=0.2;theta=0.4;,naive,k=3,84.03,0.4934,,,,1.3333,1.3333,4706.3,578.81,,,200,False
vassore-sgd,lr=0.05;rho=0.2;theta=0.4;,naive,k=2,84.37,0.4377,,,,1.5,1.5,4219.49,559.14,,,200,False
vassoremu-sgd,lr=0.05;rho=0.2;theta=0.4;,naive,k=3,84.13,0.4989,,,,1.3333,1.3333,4278.48,499.05,,,200,False
vassore-sgd,lr=0.05;rho=0.2;theta=0.4;,naive,k=2,84.36,0.439,,,,1.5,1.5,4042.45,708.38,,,200,False
vassore-sgd,lr=0.05;rho=0.2;theta=0.4;,naive,k=100,82.63,0.6526,,,,1.01,1.01,7145.36,387.97,,,200,False
vassoremu-sgd,lr=0.05;rho=0.2;theta=0.4;,naive,k=2,84.17,0.447,,,,1.5,1.5,3401.42,561.05,,,200,False
vassoremu-sgd,lr=0.05;rho=0.2;theta=0.4;,naive,k=100,82.69,0.6618,,,,1.01,1.01,6147.5,390.34,,,200,False
vassoremu-sgd,lr=0.05;rho=0.2;theta=0.4;,naive,k=20,83.51,0.6181,,,,1.05,1.05,5891.13,400.23,,,200,False
vassore-sgd,lr=0.05;rho=0.2;theta=0.4;,naive,k=20,82.85,0.6206,,,,1.05,1.05,6730.1,403.66,,,200,False
vassoremu-sgd,lr=0.05;rho=0.2;theta=0.4;,naive,k=10,83.48,0.5774,,,,1.1,1.1,5764.82,414.99,,,200,False
vassore-sgd,lr=0.05;rho=0.2;theta=0.4;,naive,k=10,83.29,0.6057,,,,1.1,1.1,6558.95,415.25,,,200,False
vassoremu-sgd,lr=0.05;rho=0.2;theta=0.4;,naive,k=5,83.81,0.5459,,,,1.2,1.2,4507.04,446.49,,,200,False
vassore-sgd,lr=0.05;rho=0.2;theta=0.4;,naive,k=5,83.53,0.5633,,,,1.2,1.2,6173.86,453.16,,,200,False
vassoremu-sgd,lr=0.05;rho=0.2;theta=0.4;,naive,k=20,83.29,0.6042,,,,1.05,1.05,5994.64,395.92,,,200,False
vassoremu-sgd,lr=0.05;rho=0.2;theta=0.4;,naive,k=100,83.03,0.6499,,,,1.01,1.01,6097.61,388.13,,,200,False
vassoremu-sgd,lr=0.05;rho=0.2;theta=0.4;,naive,k=10,83.62,0.575,,,,1.1,1.1,5801.17,414.94,,,200,False
vassoremu-sgd,lr=0.05;rho=0.2;theta=0.4;,naive,k=5,83.86,0.5413,,,,1.2,1.2,5081.9,457.38,,,200,False
vassore-sgd,lr=0.05;rho=0.2;theta=0.4;,naive,k=3,83.73,0.5254,,,,1.3333,1.3333,5334.73,499.42,,,200,False
vassoremu-sgd,lr=0.05;rho=0.2;theta=0.4;,naive,k=3,84.43,0.5042,,,,1.3333,1.3333,4378.28,499.5,,,200,False
vassore-sgd,lr=0.05;rho=0.2;theta=0.4;,random,p=0.1,83.38,0.5945,,,,1.0987,1.0987,6790.74,415.33,,,200,False
vassore-sgd,lr=0.05;rho=0.2;theta=0.4;,random,p=0.05,82.69,0.6394,,,,1.0502,1.0502,7070.21,391.96,,,200,False
vassore-sgd,lr=0.05;rho=0.2;theta=0.4;,random,p=0.01,82.64,0.6595,,,,1.0098,1.0098,6022.5,384.77,,,200,False
vassoremu-sgd,lr=0.05;rho=0.2;theta=0.4;,naive,k=2,84.28,0.4718,,,,1.5,1.5,3599.57,553.9,,,200,False
vassore-sgd,lr=0.05;rho=0.2;theta=0.4;,naive,k=2,83.99,0.4612,,,,1.5,1.5,4175.54,555.13,,,200,False
vassore-sgd,lr=0.05;rho=0.2;theta=0.4;,random,p=0.2,83.54,0.5491,,,,1.1989,1.1989,5048.53,453.72,,,200,False
vassore-sgd,lr=0.05;rho=0.2;theta=0.4;,random,p=0.33,83.77,0.5059,,,,1.3294,1.3294,5339.59,491.99,,,200,False
vassoremu-sgd,lr=0.05;rho=0.2;theta=0.4;,random,p=0.1,83.39,0.5997,,,,1.0987,1.0987,5739.75,417.56,,,200,False
vassoremu-sgd,lr=0.05;rho=0.2;theta=0.4;,random,p=0.01,82.7,0.6436,,,,1.0098,1.0098,5371.94,386.38,,,200,False
vassoremu-sgd,lr=0.05;rho=0.2;theta=0.4;,random,p=0.05,83.11,0.6128,,,,1.0502,1.0502,6001.03,401.16,,,200,False
vassoremu-sgd,lr=0.05;rho=0.2;theta=0.4;,random,p=0.2,83.98,0.539,,,,1.1989,1.1989,5205.62,447.59,,,200,False
vassore-sgd,lr=0.05;rho=0.2;theta=0.4;,random,p=0.5,84.15,0.4614,,,,1.4984,1.4984,4055.14,554.36,,,200,False
vassoremu-sgd,lr=0.05;rho=0.2;theta=0.4;,random,p=0.33,83.85,0.4932,,,,1.3294,1.3294,4429.67,499.1,,,200,False
vassoremu-sgd,lr=0.05;rho=0.2;theta=0.4;,random,p=0.5,84.2,0.4527,,,,1.4984,1.4984,3434.2,559.86,,,200,False
vassore-sgd,lr=0.05;rho=0.2;theta=0.4;,random,p=0.01,82.38,0.6618,,,,1.0101,1.0101,6258.21,376.44,,,200,False
vassore-sgd,lr=0.05;rho=0.2;theta=0.4;,random,p=0.05,83.03,0.6255,,,,1.0499,1.0499,5973.41,396.4,,,200,False
vassore-sgd,lr=0.05;rho=0.2;theta=0.4;,random,p=0.1,83.06,0.5981,,,,1.1011,1.1011,5851.87,406.9,,,200,False
vassore-sgd,lr=0.05;rho=0.2;theta=0.4;,random,p=0.5,84.34,0.439,,,,1.4999,1.4999,3684.8,554.17,,,200,False
vassoremu-sgd,lr=0.05;rho=0.2;theta=0.4;,random,p=0.1,83.71,0.58,,,,1.1011,1.1011,5766.44,415.7,,,200,False
vassore-sgd,lr=0.05;rho=0.2;theta=0.4;,random,p=0.2,83.35,0.5697,,,,1.2021,1.2021,5138.46,473.56,,,200,False
vassoremu-sgd,lr=0.05;rho=0.2;theta=0.4;,random,p=0.01,82.57,0.6401,,,,1.0101,1.0101,5593.61,384.66,,,200,False
vassoremu-sgd,lr=0.05;rho=0.2;theta=0.4;,random,p=0.05,83.02,0.62,,,,1.0499,1.0499,5125.98,394.82,,,200,False
vassore-sgd,lr=0.05;rho=0.2;theta=0.4;,random,p=0.33,84.02,0.507,,,,1.3308,1.3308,4680.01,523.33,,,200,False
vassoremu-sgd,lr=0.05;rho=0.2;theta=0.4;,random,p=0.2,83.81,0.5308,,,,1.2021,1.2021,4694.03,450.92,,,200,False
vassore-sgd,lr=0.05;rho=0.2;theta=0.4;,random,p=0.05,83.04,0.629,,,,1.0504,1.0504,7018.11,397.06,,,200,False
vassore-sgd,lr=0.05;rho=0.2;theta=0.4;,random,p=0.01,82.64,0.6703,,,,1.0103,1.0103,5911.66,382.5,,,200,False
vassore-sgd,lr=0.05;rho=0.2;theta=0.4;,random,p=0.2,83.54,0.542,,,,1.199,1.199,6152.12,447.43,,,200,False
vassore-sgd,lr=0.05;rho=0.2;theta=0.4;,random,p=0.1,83.49,0.5893,,,,1.1004,1.1004,6673.56,417.73,,,200,False
vassoremu-sgd,lr=0.05;rho=0.2;theta=0.4;,random,p=0.01,83.18,0.643,,,,1.0103,1.0103,5337.6,386.84,,,200,False
vassoremu-sgd,lr=0.05;rho=0.2;theta=0.4;,random,p=0.5,84.82,0.4288,,,,1.4999,1.4999,3485.0,553.3,,,200,False
vassoremu-sgd,lr=0.05;rho=0.2;theta=0.4;,random,p=0.05,83.45,0.6091,,,,1.0504,1.0504,5960.86,400.11,,,200,False
vassore-sgd,lr=0.05;rho=0.2;theta=0.4;,random,p=0.33,83.94,0.4978,,,,1.3295,1.3295,5407.64,501.59,,,200,False
vassoremu-sgd,lr=0.05;rho=0.2;theta=0.4;,random,p=0.1,83.41,0.5872,,,,1.1004,1.1004,5746.22,414.47,,,200,False
vassoremu-sgd,lr=0.05;rho=0.2;theta=0.4;,random,p=0.2,83.59,0.5302,,,,1.199,1.199,4668.14,455.43,,,200,False
vassore-sgd,lr=0.05;rho=0.2;theta=0.4;,random,p=0.01,82.8,0.65,,,,1.0103,1.0103,7394.81,377.59,,,200,False
vassore-sgd,lr=0.05;rho=0.2;theta=0.4;,random,p=0.5,84.16,0.4446,,,,1.5016,1.5016,4043.17,558.87,,,200,False
