optimizer,hyperparameters,criterion,crt_parameter,top-1 test acc,overfitting indicator,l1,l5,l1/l5,fwp_overhead,bwp_overhead,images/s,runtime,max_allocated_memory,max_reserved_memory,epochs,exclusive_run
adamw,lr=0.05;,baseline,,74.65,1.846,,,,1.0,1.0,12277.67,273.7,2892,3168,200,True
sgd,lr=0.05;,baseline,,81.96,0.7086,,,,1.0,1.0,12471.82,276.24,2751,3160,200,True
adamw,lr=0.05;,baseline,,74.38,1.965,,,,1.0,1.0,11941.4,272.9,2892,3168,200,True
sgd,lr=0.05;,baseline,,81.87,0.707,,,,1.0,1.0,13548.74,274.13,2751,3160,200,True
sam-sgd,lr=0.05;rho=0.2;,baseline,,84.8,0.4545,,,,2.0,2.0,1295.65,528.14,2894,3418,200,True
vassore-sgd,lr=0.05;rho=0.2;theta=0.4;,naive,k=3,83.53,0.5259,,,,1.3333,1.3333,7437.0,363.03,3178,3906,200,True
vassore-sgd,lr=0.05;rho=0.2;theta=0.4;,naive,k=2,84.32,0.4418,,,,1.5,1.5,5477.04,404.99,3179,3904,200,True
vasso-sgd,lr=0.05;rho=0.2;theta=0.2;,baseline,,84.75,0.3268,,,,2.0,2.0,680.4,532.6,3035,3578,200,True
vasso-sgd,lr=0.05;rho=0.2;theta=0.4;,baseline,,84.66,0.269,,,,2.0,2.0,675.34,536.79,3035,3578,200,True
vassore-sgd,lr=0.05;rho=0.2;theta=0.4;,random,p=0.01,82.43,0.6738,,,,1.0102,1.0102,10669.06,280.32,3178,3656,200,True
vassore-sgd,lr=0.05;rho=0.2;theta=0.4;,naive,k=5,83.76,0.5484,,,,1.2,1.2,8265.94,329.21,3178,3658,200,True
vassore-sgd,lr=0.05;rho=0.2;theta=0.4;,naive,k=20,83.3,0.6153,,,,1.05,1.05,9568.93,289.85,3178,3656,200,True
vassore-sgd,lr=0.05;rho=0.2;theta=0.4;,naive,k=10,83.23,0.603,,,,1.1,1.1,9848.78,305.53,3178,3656,200,True
vassore-sgd,lr=0.05;rho=0.2;theta=0.4;,naive,k=100,82.46,0.6616,,,,1.01,1.01,10745.12,280.4,3177,3656,200,True
vassore-sgd,lr=0.05;rho=0.2;theta=0.4;,random,p=0.5,84.34,0.4349,,,,1.4994,1.4994,5406.28,406.28,3178,3906,200,True
vassoremu-sgd,lr=0.05;rho=0.2;theta=0.4;,random,p=0.2,83.84,0.5427,,,,1.2006,1.2006,6971.31,334.3,3177,3852,200,True
vassore-sgd,lr=0.05;rho=0.2;theta=0.4;,random,p=0.33,84.02,0.5031,,,,1.3301,1.3301,6939.31,361.37,3178,3906,200,True
vassore-sgd,lr=0.05;rho=0.2;theta=0.4;,random,p=0.2,83.54,0.5648,,,,1.2006,1.2006,8433.69,329.6,3178,3658,200,True
