optimizer,hyperparameters,criterion,crt_parameter,top-1 test acc,overfitting indicator,l1,l5,l1/l5,fwp_overhead,bwp_overhead,images/s,runtime,max_allocated_memory,max_reserved_memory,epochs,exclusive_run
vassore-sgd,lr=0.05;rho=0.2;theta=0.4;lam=0.01;z=2.0;,gSAMflat,z=2.0,83.18,0.5819,,,,1.0185,1.0185,472.34,403.45,,,200,False
vassore-sgd,lr=0.05;rho=0.2;theta=0.4;lam=0.01;z=2.5;,gSAMflat,z=2.5,82.89,0.6047,,,,1.012,1.012,460.67,411.73,,,200,False
vassore-sgd,lr=0.05;rho=0.2;theta=0.4;lam=0.2;z=1.5;,gSAMflat,z=1.5,84.13,0.5004,,,,1.0462,1.0462,455.32,399.39,,,200,False
vassore-sgd,lr=0.05;rho=0.2;theta=0.4;lam=0.1;z=2.5;,gSAMflat,z=2.5,82.95,0.6067,,,,1.0123,1.0123,465.57,406.32,,,200,False
vassore-sgd,lr=0.05;rho=0.2;theta=0.4;lam=0.1;z=2.0;,gSAMflat,z=2.0,83.35,0.5748,,,,1.0195,1.0195,463.99,409.53,,,200,False
vassore-sgd,lr=0.05;rho=0.2;theta=0.4;lam=0.01;z=1.5;,gSAMflat,z=1.5,83.52,0.5182,,,,1.0437,1.0437,452.1,422.7,,,200,False
vassore-sgd,lr=0.05;rho=0.2;theta=0.4;lam=0.1;z=1.5;,gSAMflat,z=1.5,83.51,0.5312,,,,1.0454,1.0454,453.68,423.17,,,200,False
vassore-sgd,lr=0.05;rho=0.2;theta=0.4;lam=0.1;z=1.2;,gSAMflat,z=1.2,83.89,0.4646,,,,1.1515,1.1515,439.17,429.33,,,200,False
vassore-sgd,lr=0.05;rho=0.2;theta=0.4;lam=0.01;z=2.5;,gSAMflat,z=2.5,82.9,0.6089,,,,1.0116,1.0116,457.48,390.1,,,200,False
vassore-sgd,lr=0.05;rho=0.2;theta=0.4;lam=0.5;z=2.5;,gSAMflat,z=2.5,82.8,0.6089,,,,1.0127,1.0127,457.63,394.61,,,200,False
vassore-sgd,lr=0.05;rho=0.2;theta=0.4;lam=0.2;z=2.0;,gSAMflat,z=2.0,83.21,0.5832,,,,1.0195,1.0195,450.61,398.04,,,200,False
vassore-sgd,lr=0.05;rho=0.2;theta=0.4;lam=0.01;z=2.0;,gSAMflat,z=2.0,83.18,0.5766,,,,1.0189,1.0189,447.09,401.07,,,200,False
vassore-sgd,lr=0.05;rho=0.2;theta=0.4;lam=0.1;z=2.0;,gSAMflat,z=2.0,82.63,0.5785,,,,1.0193,1.0193,449.32,402.33,,,200,False
vassore-sgd,lr=0.05;rho=0.2;theta=0.4;lam=0.1;z=2.5;,gSAMflat,z=2.5,83.29,0.6095,,,,1.0123,1.0123,446.62,402.74,,,200,False
vassore-sgd,lr=0.05;rho=0.2;theta=0.4;lam=0.5;z=1.5;,gSAMflat,z=1.5,83.62,0.4946,,,,1.0548,1.0548,451.05,403.64,,,200,False
vassore-sgd,lr=0.05;rho=0.2;theta=0.4;lam=0.01;z=1.5;,gSAMflat,z=1.5,83.5,0.5191,,,,1.0438,1.0438,448.59,405.58,,,200,False
vassore-sgd,lr=0.05;rho=0.2;theta=0.4;lam=0.4;z=1.5;,gSAMflat,z=1.5,83.77,0.5091,,,,1.0502,1.0502,444.92,408.12,,,200,False
vassore-sgd,lr=0.05;rho=0.2;theta=0.4;lam=0.4;z=2.5;,gSAMflat,z=2.5,82.8,0.6118,,,,1.0124,1.0124,432.62,413.05,,,200,False
vassore-sgd,lr=0.05;rho=0.2;theta=0.4;lam=0.5;z=2.0;,gSAMflat,z=2.0,83.08,0.5707,,,,1.0227,1.0227,436.93,413.54,,,200,False
