optimizer,hyperparameters,criterion,crt_parameter,top-1 test acc,overfitting indicator,l1,l5,l1/l5,fwp_overhead,bwp_overhead,images/s,runtime,max_allocated_memory,max_reserved_memory,epochs,exclusive_run
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.1;z=1.5;,gSAMflat,z=1.5,96.34,0.0563,23.8117,41.3763,0.5755,1.0518,1.0518,2798.3,66.29,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.2;z=1.5;,gSAMflat,z=1.5,96.4,0.0533,24.9313,44.5834,0.5592,1.0538,1.0538,2779.78,66.7,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.1;z=1.5;,gSAMflat,z=1.5,96.56,0.0634,24.9699,43.2444,0.5774,1.0509,1.0509,2774.74,66.56,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.2;z=1.5;,gSAMflat,z=1.5,96.34,0.0562,24.5824,43.0446,0.5711,1.0542,1.0542,2727.65,67.89,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.1;z=1.5;,gSAMflat,z=1.5,96.4,0.061,24.2807,43.5822,0.5571,1.053,1.053,2759.17,67.04,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.9;z=1.5;,gSAMflat,z=1.5,96.27,0.0589,22.1515,41.0135,0.5401,1.0769,1.0769,2772.03,67.29,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.1;z=1.2;,gSAMflat,z=1.2,96.49,0.0439,24.0232,40.0966,0.5991,1.1825,1.1825,2633.53,72.32,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.2;z=1.2;,gSAMflat,z=1.2,96.37,0.0414,23.1356,40.8603,0.5662,1.1877,1.1877,2623.31,72.69,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.2;z=1.5;,gSAMflat,z=1.5,96.52,0.0582,23.6481,42.6256,0.5548,1.0542,1.0542,2697.57,68.46,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.9;z=1.5;,gSAMflat,z=1.5,96.39,0.0564,22.5843,39.2307,0.5757,1.0765,1.0765,2692.27,70.18,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.2;z=1.2;,gSAMflat,z=1.2,96.61,0.0473,23.1661,41.0925,0.5638,1.186,1.186,2581.39,73.75,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.1;z=1.2;,gSAMflat,z=1.2,96.55,0.0479,25.3381,45.6087,0.5556,1.1819,1.1819,2655.13,71.57,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.1;z=1.15;,gSAMflat,z=1.15,96.53,0.0454,25.1315,46.5381,0.54,1.243,1.243,2540.29,75.47,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.1;z=1.2;,gSAMflat,z=1.2,96.5,0.046,23.8703,41.4616,0.5757,1.1797,1.1797,2590.2,73.14,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.2;z=1.2;,gSAMflat,z=1.2,96.51,0.0469,23.6989,44.5284,0.5322,1.1861,1.1861,2553.33,74.15,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.1;z=1.15;,gSAMflat,z=1.15,96.53,0.0468,23.3177,40.3732,0.5776,1.2443,1.2443,2529.87,75.99,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.2;z=1.15;,gSAMflat,z=1.15,96.47,0.0434,23.692,41.0076,0.5777,1.2492,1.2492,2511.49,76.29,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.9;z=1.15;,gSAMflat,z=1.15,96.59,0.0418,21.9189,38.0628,0.5759,1.3162,1.3162,2456.88,78.8,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.9;z=1.2;,gSAMflat,z=1.2,96.65,0.0369,23.202,41.7496,0.5557,1.2546,1.2546,2537.38,75.73,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.1;z=1.15;,gSAMflat,z=1.15,96.55,0.0434,23.6631,42.3471,0.5588,1.2427,1.2427,2541.67,75.41,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.2;z=1.15;,gSAMflat,z=1.15,96.56,0.039,22.5538,38.4492,0.5866,1.2525,1.2525,2547.31,75.65,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.9;z=1.15;,gSAMflat,z=1.15,96.41,0.0387,22.3611,41.8919,0.5338,1.3164,1.3164,2437.15,79.25,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.2;z=1.15;,gSAMflat,z=1.15,96.41,0.0456,23.9202,41.6849,0.5738,1.2512,1.2512,2479.35,77.11,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.1;z=1.1;,gSAMflat,z=1.1,96.48,0.0405,24.0757,41.9787,0.5735,1.3237,1.3237,2432.43,79.8,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.2;z=1.1;,gSAMflat,z=1.1,96.49,0.0366,23.0068,41.0515,0.5604,1.3302,1.3302,2407.72,80.17,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.1;z=1.1;,gSAMflat,z=1.1,96.61,0.039,25.7682,42.8135,0.6019,1.3262,1.3262,2430.77,79.46,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.2;z=1.1;,gSAMflat,z=1.1,96.5,0.0392,22.1335,40.7903,0.5426,1.3295,1.3295,2452.12,79.15,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.9;z=1.2;,gSAMflat,z=1.2,96.44,0.0484,23.1785,40.05,0.5787,1.2524,1.2524,2485.36,77.95,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.1;z=1.1;,gSAMflat,z=1.1,96.66,0.0339,22.7255,39.829,0.5706,1.3232,1.3232,2450.4,78.88,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.9;z=1.1;,gSAMflat,z=1.1,96.72,0.0347,22.0226,39.176,0.5621,1.3811,1.3811,2374.74,81.87,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.9;z=1.1;,gSAMflat,z=1.1,96.53,0.04,23.0626,39.1957,0.5884,1.3821,1.3821,2196.69,88.19,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.2;z=1.1;,gSAMflat,z=1.1,96.59,0.0365,24.9458,43.2452,0.5768,1.3309,1.3309,2192.65,88.07,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.9;z=1.5;,gSAMflat,z=1.5,96.37,0.0496,24.1076,40.4329,0.5962,1.0765,1.0765,2763.08,67.28,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.1;z=1.5;,gSAMflat,z=1.5,96.46,0.0593,24.2589,41.9496,0.5783,1.0519,1.0519,2748.73,67.28,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.9;z=1.2;,gSAMflat,z=1.2,96.43,0.0448,25.4446,42.8554,0.5937,1.2528,1.2528,2533.84,76.29,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.1;z=1.2;,gSAMflat,z=1.2,96.53,0.0412,23.6381,43.222,0.5469,1.1822,1.1822,2633.87,72.28,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.2;z=1.2;,gSAMflat,z=1.2,96.92,0.0394,25.2092,38.0396,0.6627,1.1878,1.1878,2623.84,72.87,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.9;z=1.15;,gSAMflat,z=1.15,96.53,0.0396,23.7635,41.9953,0.5659,1.3175,1.3175,2452.23,78.63,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.9;z=1.5;,gSAMflat,z=1.5,96.39,0.057,22.9383,39.8734,0.5753,1.0763,1.0763,2707.84,68.53,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.1;z=1.1;,gSAMflat,z=1.1,96.73,0.0441,24.9913,35.0567,0.7129,1.3225,1.3225,2436.44,79.26,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.2;z=1.5;,gSAMflat,z=1.5,96.5,0.0611,24.139,42.5241,0.5677,1.0531,1.0531,2795.99,66.65,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.2;z=1.5;,gSAMflat,z=1.5,96.35,0.0636,22.1891,38.7135,0.5732,1.055,1.055,2737.41,68.93,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.1;z=1.15;,gSAMflat,z=1.15,96.62,0.0476,23.009,38.9646,0.5905,1.2426,1.2426,2542.28,75.35,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.2;z=1.15;,gSAMflat,z=1.15,96.43,0.0463,23.275,39.1265,0.5949,1.2503,1.2503,2545.23,75.65,,,200,False
