optimizer,hyperparameters,criterion,crt_parameter,top-1 test acc,overfitting indicator,l1,l5,l1/l5,fwp_overhead,bwp_overhead,images/s,runtime,max_allocated_memory,max_reserved_memory,epochs,exclusive_run
vassoremu-sgd,lr=0.05;rho=0.05;theta=0.9;lam=0.1;z=2.0;,gSAMflat,z=2.0,93.41,0.1678,,,,1.0092,1.0092,6683.5,30.58,,,200,False
vassoremu-sgd,lr=0.05;rho=0.05;theta=0.9;lam=0.1;z=2.0;,gSAMflat,z=2.0,93.15,0.18,,,,1.0088,1.0088,6630.6,30.77,,,200,False
vassoremu-sgd,lr=0.05;rho=0.05;theta=0.9;lam=0.1;z=1.5;,gSAMflat,z=1.5,93.75,0.1401,,,,1.028,1.028,6616.14,30.95,,,200,False
vassoremu-sgd,lr=0.05;rho=0.05;theta=0.9;lam=0.1;z=1.8;,gSAMflat,z=1.8,93.69,0.161,,,,1.0131,1.0131,6589.87,31.01,,,200,False
vassoremu-sgd,lr=0.05;rho=0.05;theta=0.9;lam=0.1;z=2.5;,gSAMflat,z=2.5,93.2,0.1874,,,,1.0051,1.0051,6591.8,31.09,,,200,False
vassoremu-sgd,lr=0.05;rho=0.05;theta=0.9;lam=0.1;z=1.8;,gSAMflat,z=1.8,93.19,0.1692,,,,1.0126,1.0126,6569.52,31.15,,,200,False
vassoremu-sgd,lr=0.05;rho=0.05;theta=0.9;lam=0.1;z=2.0;,gSAMsharp,z=2.0,93.18,0.1951,,,,1.0016,1.0016,6566.69,31.48,,,200,False
vassoremu-sgd,lr=0.05;rho=0.05;theta=0.9;lam=0.1;z=2.5;,gSAMsharp,z=2.5,93.22,0.1928,,,,1.0013,1.0013,6571.58,31.53,,,200,False
vassoremu-sgd,lr=0.05;rho=0.05;theta=0.9;lam=0.1;z=1.8;,gSAMsharp,z=1.8,93.21,0.1933,,,,1.0025,1.0025,6493.81,31.62,,,200,False
vassoremu-sgd,lr=0.05;rho=0.05;theta=0.9;lam=0.1;z=2.5;,gSAMflat,z=2.5,93.19,0.1911,,,,1.0045,1.0045,6508.21,31.66,,,200,False
vassoremu-sgd,lr=0.05;rho=0.05;theta=0.9;lam=0.1;z=1.5;,gSAMsharp,z=1.5,93.21,0.1723,,,,1.012,1.012,6477.46,31.92,,,200,False
vassoremu-sgd,lr=0.05;rho=0.05;theta=0.9;lam=0.1;z=1.2;,gSAMsharp,z=1.2,93.61,0.1261,,,,1.1167,1.1167,6309.85,32.81,,,200,False
vassoremu-sgd,lr=0.05;rho=0.05;theta=0.9;lam=0.1;z=1.5;,gSAMflat,z=1.5,93.29,0.1529,,,,1.0285,1.0285,6220.07,32.74,,,200,False
vassoremu-sgd,lr=0.05;rho=0.05;theta=0.9;lam=0.1;z=1.2;,gSAMflat,z=1.2,93.53,0.117,,,,1.1469,1.1469,6302.82,33.15,,,200,False
vassoremu-sgd,lr=0.05;rho=0.05;theta=0.9;lam=0.1;z=1.2;,gSAMsharp,z=1.2,93.42,0.1262,,,,1.1158,1.1158,6191.45,33.6,,,200,False
vassoremu-sgd,lr=0.05;rho=0.05;theta=0.9;lam=0.1;z=1.2;,gSAMflat,z=1.2,93.52,0.1178,,,,1.1469,1.1469,6209.16,33.56,,,200,False
vassoremu-sgd,lr=0.05;rho=0.05;theta=0.9;lam=0.1;z=1.5;,gSAMsharp,z=1.5,93.4,0.1793,,,,1.0113,1.0113,6675.04,30.66,,,200,False
vassoremu-sgd,lr=0.05;rho=0.05;theta=0.9;lam=0.1;z=2.5;,gSAMsharp,z=2.5,93.3,0.1901,,,,1.0013,1.0013,6685.83,30.5,,,200,False
vassoremu-sgd,lr=0.05;rho=0.05;theta=0.9;lam=0.1;z=2.0;,gSAMsharp,z=2.0,93.25,0.1976,,,,1.0016,1.0016,6663.41,30.62,,,200,False
vassoremu-sgd,lr=0.05;rho=0.05;theta=0.9;lam=0.1;z=1.8;,gSAMsharp,z=1.8,93.18,0.1915,,,,1.0025,1.0025,6591.09,30.99,,,200,False
vassoremu-sgd,lr=0.05;rho=0.05;theta=0.9;lam=0.1;z=1.5;z2=1.75;,gSAMratio,z=1.5,93.24,0.1421,,,,1.0315,1.0315,6546.67,31.32,,,200,False
vassoremu-sgd,lr=0.05;rho=0.05;theta=0.9;lam=0.1;z=1.5;z2=1.5;,gSAMratio,z=1.5,93.38,0.1309,,,,1.0416,1.0416,6520.12,31.61,,,200,False
vassoremu-sgd,lr=0.05;rho=0.05;theta=0.9;lam=0.1;z=1.75;z2=1.5;,gSAMratio,z=1.75,93.48,0.1409,,,,1.0247,1.0247,6538.05,31.36,,,200,False
vassoremu-sgd,lr=0.05;rho=0.05;theta=0.9;lam=0.1;z=1.75;z2=1.75;,gSAMratio,z=1.75,93.5,0.1539,,,,1.0169,1.0169,6536.45,31.84,,,200,False
vassoremu-sgd,lr=0.05;rho=0.05;theta=0.9;lam=0.1;z=1.5;z2=1.75;,gSAMratio,z=1.5,93.54,0.1436,,,,1.0309,1.0309,6443.65,32.01,,,200,False
vassoremu-sgd,lr=0.05;rho=0.05;theta=0.9;lam=0.1;z=1.5;z2=1.5;,gSAMratio,z=1.5,93.47,0.1275,,,,1.0407,1.0407,6464.08,32.24,,,200,False
vassoremu-sgd,lr=0.05;rho=0.05;theta=0.9;lam=0.1;z=1.75;z2=1.5;,gSAMratio,z=1.75,93.18,0.1497,,,,1.0251,1.0251,6421.39,32.28,,,200,False
vassoremu-sgd,lr=0.05;rho=0.05;theta=0.9;lam=0.1;z=1.75;z2=1.75;,gSAMratio,z=1.75,93.45,0.1537,,,,1.0163,1.0163,6460.97,31.81,,,200,False
sgd,lr=0.05;,baseline,,93.3,0.2189,,,,1.0,1.0,18171.83,24.79,,,200,False
sgd,lr=0.05;,baseline,,93.03,0.2291,,,,1.0,1.0,18897.6,26.05,,,200,False
vasso-sgd,lr=0.05;rho=0.05;theta=0.9;,baseline,,93.97,0.0285,,,,2.0,2.0,8874.13,47.42,,,200,False
vasso-sgd,lr=0.05;rho=0.05;theta=0.9;,baseline,,93.85,0.0283,,,,2.0,2.0,7900.49,47.22,,,200,False
vassoremu-sgd,lr=0.05;rho=0.05;theta=0.9;>0?0.0,cosSim,>0?=0.0,93.49,0.1084,,,,1.1202,1.1202,1542.15,124.55,,,200,False
vassoremu-sgd,lr=0.05;rho=0.05;theta=0.9;>0?0.0,cosSim,>0?=0.0,93.61,0.0954,,,,1.1175,1.1175,1529.23,126.08,,,200,False
